basetime,city_id,NO2,O3,PM10,PM2.5
2023-01-02,AQ050,8.74,47.95,15.15,11.76
2023-01-03,AQ001,23.91,34.80,13.99,9.86
2023-01-03,AQ002,42.54,24.71,59.45,47.26
2023-01-03,AQ003,44.21,19.53,39.04,21.06
2023-01-03,AQ004,35.15,20.49,41.15,32.54
2023-01-03,AQ005,23.32,17.37,47.24,37.40
2023-01-03,AQ006,22.69,38.24,13.52,9.89
2023-01-03,AQ007,15.21,37.59,7.87,6.51
2023-01-03,AQ008,6.31,62.95,12.43,5.03
2023-01-03,AQ009,17.24,12.78,15.74,11.58
2023-01-03,AQ010,13.96,45.48,9.74,6.12
2023-01-03,AQ011,30.70,18.55,49.79,42.05
2023-01-03,AQ012,20.15,14.95,24.66,24.20
2023-01-03,AQ013,20.24,45.41,8.93,5.33
2023-01-03,AQ014,10.73,58.96,10.02,5.19
2023-01-03,AQ015,6.86,69.86,5.29,2.87
2023-01-03,AQ016,25.13,36.25,13.10,7.15
2023-01-03,AQ017,14.39,52.41,7.00,4.23
2023-01-03,AQ018,28.26,35.98,16.79,12.74
2023-01-03,AQ019,23.73,25.86,33.53,37.90
2023-01-03,AQ020,19.03,51.23,9.70,6.50
2023-01-03,AQ021,9.20,53.08,7.82,5.15
2023-01-03,AQ022,26.18,26.76,12.80,9.07
2023-01-03,AQ023,35.14,18.99,17.00,10.32
2023-01-03,AQ024,23.93,24.78,22.51,16.57
2023-01-03,AQ025,28.78,1.01,44.53,42.73
2023-01-03,AQ026,14.04,42.18,17.96,12.27
2023-01-03,AQ027,27.47,36.34,9.12,7.97
2023-01-03,AQ028,41.89,21.73,34.58,28.72
2023-01-03,AQ029,6.28,69.53,12.08,7.79
2023-01-03,AQ030,44.78,35.15,27.51,20.61
2023-01-03,AQ031,23.00,40.41,12.83,7.48
2023-01-03,AQ032,9.79,35.02,32.20,27.54
2023-01-03,AQ033,23.17,40.72,14.66,11.97
2023-01-03,AQ034,18.15,13.99,43.03,35.42
2023-01-03,AQ035,3.91,80.43,7.45,2.90
2023-01-03,AQ036,4.01,61.72,6.44,3.38
2023-01-03,AQ037,27.79,13.99,26.76,22.62
2023-01-03,AQ038,11.20,42.83,42.62,37.11
2023-01-03,AQ039,28.44,13.92,73.97,56.24
2023-01-03,AQ040,25.33,22.43,31.56,20.41
2023-01-03,AQ041,6.97,62.83,4.81,3.01
2023-01-03,AQ042,13.18,55.75,5.39,4.14
2023-01-03,AQ043,18.80,34.90,34.56,26.92
2023-01-03,AQ044,34.16,4.39,66.24,62.38
2023-01-03,AQ045,28.45,14.99,27.06,21.56
2023-01-03,AQ046,13.65,63.32,11.53,6.80
2023-01-03,AQ047,26.02,12.64,16.55,13.11
2023-01-03,AQ048,5.95,63.19,8.80,5.27
2023-01-03,AQ049,14.70,47.82,17.04,12.87
2023-01-03,AQ050,15.29,32.00,20.74,19.00
2023-01-04,AQ001,9.42,62.63,11.39,5.65
2023-01-04,AQ002,44.35,19.36,71.83,56.68
2023-01-04,AQ003,37.43,21.29,39.23,20.84
2023-01-04,AQ004,32.22,18.95,34.86,29.27
2023-01-04,AQ005,25.15,12.88,41.02,36.59
2023-01-04,AQ006,12.38,44.94,6.88,5.43
2023-01-04,AQ007,9.02,38.64,6.91,5.01
2023-01-04,AQ008,3.30,63.13,12.87,5.59
2023-01-04,AQ009,20.72,18.70,18.50,14.18
2023-01-04,AQ010,7.96,59.64,7.50,3.99
2023-01-04,AQ011,31.63,15.27,41.85,34.76
2023-01-04,AQ012,24.70,22.47,21.43,21.63
2023-01-04,AQ013,9.35,60.21,6.78,3.63
2023-01-04,AQ014,9.36,52.36,7.31,4.66
2023-01-04,AQ015,5.84,64.82,12.66,7.13
2023-01-04,AQ016,13.54,55.96,5.92,3.20
2023-01-04,AQ017,12.71,51.18,6.43,4.02
2023-01-04,AQ018,21.66,33.86,14.66,11.91
2023-01-04,AQ019,23.06,27.07,29.25,30.29
2023-01-04,AQ020,9.89,63.37,10.87,6.51
2023-01-04,AQ021,4.85,57.61,4.81,3.04
2023-01-04,AQ022,34.83,3.44,28.59,20.41
2023-01-04,AQ023,41.69,16.27,20.90,11.56
2023-01-04,AQ024,23.08,18.08,19.88,16.76
2023-01-04,AQ025,29.48,2.40,52.29,47.13
2023-01-04,AQ026,15.19,37.46,18.66,11.96
2023-01-04,AQ027,12.43,43.21,5.28,4.57
2023-01-04,AQ028,41.16,21.10,32.99,28.46
2023-01-04,AQ029,6.15,70.75,12.40,9.58
2023-01-04,AQ030,8.66,61.85,5.68,4.58
2023-01-04,AQ031,13.26,54.83,5.75,3.39
2023-01-04,AQ032,8.80,34.79,22.19,18.53
2023-01-04,AQ033,14.56,41.18,11.88,8.82
2023-01-04,AQ034,14.26,19.27,29.86,26.03
2023-01-04,AQ035,14.34,65.45,8.73,4.67
2023-01-04,AQ036,7.59,63.93,9.91,6.80
2023-01-04,AQ037,26.90,9.71,26.61,23.61
2023-01-04,AQ038,8.30,41.23,37.35,32.40
2023-01-04,AQ039,21.30,17.41,46.37,32.81
2023-01-04,AQ040,17.53,30.29,37.37,29.52
2023-01-04,AQ041,10.53,58.56,5.60,3.67
2023-01-04,AQ042,9.78,59.23,4.79,3.68
2023-01-04,AQ043,18.21,33.61,26.12,23.73
2023-01-04,AQ044,29.51,9.59,61.43,55.48
2023-01-04,AQ045,24.98,19.09,24.06,20.39
2023-01-04,AQ046,15.69,55.57,12.11,7.89
2023-01-04,AQ047,29.60,17.85,17.94,14.57
2023-01-04,AQ048,8.08,62.20,9.22,6.66
2023-01-04,AQ049,22.90,33.27,28.11,22.91
2023-01-04,AQ050,15.60,26.53,22.30,20.55
2023-01-05,AQ001,15.20,46.65,19.69,9.37
2023-01-05,AQ002,31.96,22.22,55.50,44.80
2023-01-05,AQ003,32.67,26.68,40.21,24.42
2023-01-05,AQ004,36.23,19.26,31.74,24.40
2023-01-05,AQ005,25.91,21.96,37.26,27.43
2023-01-05,AQ006,8.94,54.59,4.88,3.45
2023-01-05,AQ007,9.38,45.19,4.76,3.33
2023-01-05,AQ008,6.77,50.32,15.01,7.19
2023-01-05,AQ009,7.12,54.29,4.68,3.71
2023-01-05,AQ010,12.35,51.06,13.99,7.27
2023-01-05,AQ011,15.67,28.68,25.25,21.66
2023-01-05,AQ012,14.19,38.16,12.19,11.96
2023-01-05,AQ013,17.82,47.05,17.18,7.88
2023-01-05,AQ014,7.27,50.03,4.70,2.55
2023-01-05,AQ015,7.85,65.78,9.92,5.71
2023-01-05,AQ016,21.38,44.34,10.24,4.83
2023-01-05,AQ017,11.86,60.02,6.56,3.97
2023-01-05,AQ018,29.22,20.67,27.54,20.72
2023-01-05,AQ019,17.40,30.86,22.90,22.99
2023-01-05,AQ020,16.21,52.06,13.49,8.20
2023-01-05,AQ021,7.24,56.64,8.69,4.81
2023-01-05,AQ022,36.60,4.91,28.97,22.57
2023-01-05,AQ023,43.24,14.79,22.61,12.50
2023-01-05,AQ024,18.65,38.78,10.93,9.47
2023-01-05,AQ025,27.61,10.55,40.78,35.79
2023-01-05,AQ026,10.11,45.68,13.90,9.83
2023-01-05,AQ027,8.81,54.70,4.22,2.77
2023-01-05,AQ028,38.16,23.89,27.18,23.44
