basetime,city_id,NO2,O3,PM10,PM2.5
2019-01-01,AQ001,11.44,58.45,16.48,8.32
2019-01-01,AQ002,31.17,43.61,25.82,23.21
2019-01-01,AQ003,13.54,59.26,5.77,4.11
2019-01-01,AQ004,40.03,26.76,16.59,12.59
2019-01-01,AQ005,19.24,26.42,23.58,20.31
2019-01-01,AQ006,8.44,55.51,11.61,7.49
2019-01-01,AQ007,15.98,35.20,14.93,12.92
2019-01-01,AQ008,4.94,65.42,17.04,8.19
2019-01-01,AQ009,16.41,34.96,13.72,12.28
2019-01-01,AQ010,21.86,40.89,20.14,13.32
2019-01-01,AQ011,17.00,36.90,34.85,32.19
2019-01-01,AQ012,18.57,35.43,14.63,12.63
2019-01-01,AQ013,26.57,36.84,18.15,13.15
2019-01-01,AQ014,6.07,64.00,10.64,4.06
2019-01-01,AQ015,16.47,50.06,13.55,8.25
2019-01-01,AQ016,6.30,60.88,14.30,6.19
2019-01-01,AQ017,9.44,57.01,4.67,3.52
2019-01-01,AQ018,30.66,23.77,25.49,21.18
2019-01-01,AQ019,24.63,28.37,28.20,26.48
2019-01-01,AQ020,30.99,30.54,18.27,12.49
2019-01-01,AQ021,21.57,38.64,15.11,12.73
2019-01-01,AQ022,17.96,37.20,16.04,14.49
2019-01-01,AQ023,60.21,10.04,25.50,22.29
2019-01-01,AQ024,23.61,28.33,12.92,10.69
2019-01-01,AQ025,48.76,5.03,41.18,35.12
2019-01-01,AQ026,14.78,43.00,12.37,10.02
2019-01-01,AQ027,11.89,48.17,10.78,9.67
2019-01-01,AQ028,21.03,50.47,7.80,5.52
2019-01-01,AQ029,3.27,63.27,6.64,4.49
2019-01-01,AQ030,3.70,62.45,2.91,2.26
2019-01-01,AQ031,42.24,20.63,27.88,19.66
2019-01-01,AQ032,4.06,47.44,5.76,5.47
2019-01-01,AQ033,12.96,42.19,10.01,8.67
2019-01-01,AQ034,8.16,38.17,16.02,14.43
2019-01-01,AQ035,3.51,69.98,3.26,1.38
2019-01-01,AQ036,7.01,55.35,8.48,5.93
2019-01-01,AQ037,21.83,40.65,7.74,6.19
2019-01-01,AQ038,6.24,48.07,11.81,11.00
2019-01-01,AQ039,10.39,38.49,17.55,16.23
2019-01-01,AQ040,16.59,40.73,18.42,16.79
2019-01-01,AQ041,4.58,62.40,3.52,2.39
2019-01-01,AQ042,5.67,59.43,4.03,3.39
2019-01-01,AQ043,6.15,49.61,9.20,8.31
2019-01-01,AQ044,41.48,12.30,29.45,27.57
