basetime,city_id,NO2,O3,PM10,PM2.5
2016-01-01,AQ001,30.87,19.86,31.61,23.28
2016-01-01,AQ002,43.75,32.80,12.84,10.88
2016-01-01,AQ003,29.68,34.01,16.70,11.13
2016-01-01,AQ004,38.96,13.91,28.51,24.24
2016-01-01,AQ005,39.93,24.08,47.28,40.73
2016-01-01,AQ006,30.66,3.75,35.40,31.85
2016-01-01,AQ007,16.79,30.14,13.60,12.47
2016-01-01,AQ008,7.90,51.84,15.62,7.10
2016-01-01,AQ009,17.31,16.72,41.84,41.07
2016-01-01,AQ010,17.44,33.38,13.80,9.21
2016-01-01,AQ011,16.21,27.23,22.11,20.73
2016-01-01,AQ012,37.33,13.39,43.41,38.82
2016-01-01,AQ013,21.36,22.61,20.61,15.10
2016-01-01,AQ014,24.48,18.31,24.95,18.87
2016-01-01,AQ015,7.73,55.53,8.04,3.18
2016-01-01,AQ016,28.40,10.24,47.70,41.31
2016-01-01,AQ017,5.02,57.80,10.08,6.93
2016-01-01,AQ018,16.01,42.53,26.19,13.96
2016-01-01,AQ019,40.63,32.56,59.73,63.08
2016-01-01,AQ020,35.26,23.15,17.34,9.28
2016-01-01,AQ021,23.84,20.74,21.63,16.66
2016-01-01,AQ022,25.12,16.27,23.69,16.99
2016-01-01,AQ023,30.71,25.98,14.90,10.73
2016-01-01,AQ024,20.79,30.97,24.80,18.71
2016-01-01,AQ025,47.21,4.55,53.26,47.70
2016-01-01,AQ026,17.81,28.49,35.55,26.74
2016-01-01,AQ027,25.81,10.91,30.78,28.58
2016-01-01,AQ028,47.58,17.91,30.56,21.66
2016-01-01,AQ029,4.15,58.12,5.41,3.77
2016-01-01,AQ030,14.80,29.80,15.49,12.23
2016-01-01,AQ031,33.85,23.94,21.03,12.15
2016-01-01,AQ032,9.81,44.99,16.08,14.18
2016-01-01,AQ033,24.35,18.08,37.36,34.35
2016-01-01,AQ034,21.52,44.38,47.91,58.73
2016-01-01,AQ035,3.10,59.82,12.15,4.34
2016-01-01,AQ036,15.40,62.51,12.75,11.24
2016-01-01,AQ037,49.15,6.25,47.21,37.82
2016-01-01,AQ038,20.30,37.23,26.36,23.58
2016-01-01,AQ039,22.10,39.04,49.72,65.98
2016-01-01,AQ040,32.84,21.54,25.94,22.35
2016-01-01,AQ041,6.22,60.51,10.66,7.39
2016-01-01,AQ042,7.01,51.52,9.62,8.85
2016-01-01,AQ043,11.30,52.70,17.65,14.00
2016-01-01,AQ044,39.74,5.64,61.37,54.61
2016-01-01,AQ045,31.04,22.86,21.26,16.99
2016-01-01,AQ046,18.71,41.98,22.85,13.41
2016-01-01,AQ047,26.32,12.22,41.57,33.82
2016-01-01,AQ048,11.28,49.43,15.31,15.15
2016-01-01,AQ049,19.83,31.67,34.18,36.48
2016-01-01,AQ050,35.41,20.81,44.25,39.24
2016-01-02,AQ001,23.26,17.58,14.90,13.03
2016-01-02,AQ002,34.45,32.24,17.08,15.04
2016-01-02,AQ003,32.87,30.06,18.16,13.67
2016-01-02,AQ004,27.12,34.66,12.45,9.39
2016-01-02,AQ005,29.34,26.41,50.47,40.47
2016-01-02,AQ006,15.18,26.97,35.85,31.48
2016-01-02,AQ007,16.72,27.47,9.75,7.68
2016-01-02,AQ008,6.86,51.08,16.09,6.31
2016-01-02,AQ009,14.20,25.10,48.63,46.06
2016-01-02,AQ010,9.29,42.98,11.02,7.17
2016-01-02,AQ011,11.68,31.11,17.72,16.34
2016-01-02,AQ012,19.11,29.68,37.54,35.52
2016-01-02,AQ013,17.22,24.31,11.57,9.00
