basetime,city_id,NO2,O3,PM10,PM2.5
2015-01-02,AQ050,25.84,10.85,33.69,27.92
2015-01-03,AQ001,18.09,52.12,14.58,6.61
2015-01-03,AQ002,36.26,22.34,44.33,30.59
2015-01-03,AQ003,36.52,21.13,23.41,17.44
2015-01-03,AQ004,40.55,25.93,17.86,19.46
2015-01-03,AQ005,18.44,33.84,42.18,19.69
2015-01-03,AQ006,12.14,59.26,13.71,7.13
2015-01-03,AQ007,17.63,28.81,8.69,8.77
2015-01-03,AQ008,10.55,63.24,11.57,3.91
2015-01-03,AQ009,11.93,49.93,11.11,7.40
2015-01-03,AQ010,32.01,23.32,16.80,10.40
2015-01-03,AQ011,19.36,15.47,26.17,21.94
2015-01-03,AQ012,17.82,44.30,17.23,11.26
2015-01-03,AQ013,28.04,32.03,12.47,8.93
2015-01-03,AQ014,7.42,72.40,12.80,4.03
2015-01-03,AQ015,19.97,22.41,4.36,3.42
2015-01-03,AQ016,11.63,61.10,13.57,4.77
2015-01-03,AQ017,4.37,67.77,3.38,1.99
2015-01-03,AQ018,24.70,20.48,26.82,22.79
2015-01-03,AQ019,32.47,25.77,52.17,46.91
2015-01-03,AQ020,42.57,21.89,12.91,7.17
2015-01-03,AQ021,25.44,28.10,11.03,8.77
2015-01-03,AQ022,34.82,6.55,49.16,28.38
2015-01-03,AQ023,79.80,4.99,24.56,20.88
2015-01-03,AQ024,15.58,44.73,12.27,8.48
2015-01-03,AQ025,54.02,5.02,34.35,28.38
2015-01-03,AQ026,19.59,30.81,29.69,12.60
2015-01-03,AQ027,16.34,40.54,8.85,7.24
2015-01-03,AQ028,33.76,30.18,26.81,17.84
2015-01-03,AQ029,2.48,69.30,7.01,3.52
2015-01-03,AQ030,9.57,47.25,7.67,5.35
2015-01-03,AQ031,30.94,25.41,18.53,10.42
2015-01-03,AQ032,4.56,41.10,24.65,8.02
2015-01-03,AQ033,12.57,47.65,11.65,8.31
2015-01-03,AQ034,10.29,44.85,41.85,15.23
2015-01-03,AQ035,3.55,65.71,5.92,3.18
2015-01-03,AQ036,5.70,72.95,6.85,5.07
2015-01-03,AQ037,34.58,7.12,28.57,18.93
2015-01-03,AQ038,6.19,53.14,19.48,12.64
2015-01-03,AQ039,15.05,20.12,48.67,19.27
2015-01-03,AQ040,11.39,40.03,17.90,12.57
2015-01-03,AQ041,6.73,66.05,4.74,3.61
2015-01-03,AQ042,2.92,70.17,3.85,2.14
2015-01-03,AQ043,7.88,44.89,23.53,12.95
2015-01-03,AQ044,38.23,4.50,29.32,18.64
2015-01-03,AQ045,16.18,25.05,13.96,5.41
2015-01-03,AQ046,6.85,54.21,17.28,6.73
2015-01-03,AQ047,18.51,48.84,11.03,6.95
2015-01-03,AQ048,5.04,66.46,9.65,6.27
2015-01-03,AQ049,10.65,52.08,14.64,8.46
2015-01-03,AQ050,31.90,8.84,32.08,27.79
2015-01-04,AQ001,16.67,56.51,16.99,7.81
2015-01-04,AQ002,16.84,43.36,19.39,15.81
2015-01-04,AQ003,31.92,29.80,18.77,14.41
2015-01-04,AQ004,35.94,25.78,21.02,19.37
2015-01-04,AQ005,9.61,42.17,12.82,7.87
2015-01-04,AQ006,9.50,62.65,10.64,5.35
2015-01-04,AQ007,8.92,54.22,6.75,5.03
2015-01-04,AQ008,16.65,40.79,21.56,13.73
2015-01-04,AQ009,7.94,59.27,5.17,4.70
2015-01-04,AQ010,33.61,17.34,27.65,16.35
2015-01-04,AQ011,13.25,27.99,18.73,13.19
2015-01-04,AQ012,11.05,50.35,9.13,6.38
2015-01-04,AQ013,26.56,31.78,20.95,13.27
2015-01-04,AQ014,8.56,68.14,10.29,4.77
2015-01-04,AQ015,24.01,10.98,8.40,7.71
2015-01-04,AQ016,11.06,60.18,10.56,4.35
2015-01-04,AQ017,5.47,40.05,4.21,2.96
2015-01-04,AQ018,32.65,17.00,40.14,33.00
2015-01-04,AQ019,22.04,46.07,31.65,20.63
2015-01-04,AQ020,51.49,5.46,26.42,18.16
2015-01-04,AQ021,29.36,34.52,15.45,10.17
2015-01-04,AQ022,13.50,36.59,14.42,10.84
2015-01-04,AQ023,66.60,7.36,21.55,17.45
2015-01-04,AQ024,10.26,52.81,9.29,6.12
2015-01-04,AQ025,25.14,36.28,12.24,8.81
2015-01-04,AQ026,18.28,26.25,25.45,9.18
2015-01-04,AQ027,13.11,58.65,6.88,5.38
2015-01-04,AQ028,21.71,46.51,16.10,10.04
2015-01-04,AQ029,3.15,69.85,11.87,6.74
2015-01-04,AQ030,11.33,42.00,10.70,5.09
2015-01-04,AQ031,42.99,33.14,18.28,14.43
2015-01-04,AQ032,4.38,40.92,20.96,6.28
2015-01-04,AQ033,10.55,58.93,8.27,4.89
2015-01-04,AQ034,5.76,43.15,16.38,7.30
2015-01-04,AQ035,1.60,64.20,5.16,2.32
2015-01-04,AQ036,4.24,68.20,4.79,2.69
2015-01-04,AQ037,19.86,23.46,17.84,9.82
2015-01-04,AQ038,4.67,49.22,9.25,8.06
2015-01-04,AQ039,11.74,29.93,28.00,14.52
2015-01-04,AQ040,10.66,33.23,15.39,8.90
2015-01-04,AQ041,6.14,65.61,5.79,3.20
2015-01-04,AQ042,4.79,49.28,4.15,2.87
