basetime,city_id,NO2,O3,PM10,PM2.5
2017-01-01,AQ001,28.75,11.27,26.96,23.14
2017-01-01,AQ002,34.28,21.81,39.30,34.09
2017-01-01,AQ003,26.12,31.66,11.53,8.82
2017-01-01,AQ004,25.86,20.41,13.94,12.73
2017-01-01,AQ005,23.59,16.78,34.61,29.69
2017-01-01,AQ006,23.66,24.30,21.78,18.48
2017-01-01,AQ007,13.01,32.00,11.13,9.06
2017-01-01,AQ008,6.53,48.71,10.37,6.49
2017-01-01,AQ009,22.29,12.38,22.69,21.28
2017-01-01,AQ010,15.50,22.88,21.92,19.69
2017-01-01,AQ011,13.82,28.59,14.55,14.04
2017-01-01,AQ012,30.34,5.96,29.04,27.01
2017-01-01,AQ013,27.83,15.96,20.95,17.52
2017-01-01,AQ014,10.71,49.13,8.56,5.02
2017-01-01,AQ015,5.16,58.09,6.86,2.08
2017-01-01,AQ016,23.87,17.44,34.97,29.47
2017-01-01,AQ017,8.80,41.67,7.54,5.77
2017-01-01,AQ018,12.91,30.31,11.26,9.71
2017-01-01,AQ019,43.07,20.93,30.07,28.61
2017-01-01,AQ020,18.34,44.08,13.65,9.57
2017-01-01,AQ021,23.02,19.65,21.96,19.02
2017-01-01,AQ022,43.28,10.20,32.17,27.67
2017-01-01,AQ023,42.38,8.42,25.54,22.53
2017-01-01,AQ024,14.95,36.71,10.97,8.53
2017-01-01,AQ025,66.13,3.63,51.05,48.61
2017-01-01,AQ026,13.64,44.97,7.42,5.78
2017-01-01,AQ027,33.75,11.13,9.59,8.23
2017-01-01,AQ028,36.06,22.79,15.93,14.37
2017-01-01,AQ029,4.61,48.81,4.46,3.02
2017-01-01,AQ030,14.28,39.45,4.68,3.10
2017-01-01,AQ031,34.01,9.23,24.97,21.36
2017-01-01,AQ032,4.25,46.75,6.69,6.07
2017-01-01,AQ033,25.64,10.47,21.98,18.22
2017-01-01,AQ034,11.92,42.48,24.45,21.01
2017-01-01,AQ035,2.65,55.37,6.35,2.86
2017-01-01,AQ036,4.77,49.46,7.29,5.38
2017-01-01,AQ037,34.62,18.40,16.04,14.77
2017-01-01,AQ038,9.02,46.03,16.82,15.18
2017-01-01,AQ039,20.14,45.15,30.09,25.76
2017-01-01,AQ040,11.73,44.31,13.42,13.07
2017-01-01,AQ041,6.44,45.17,3.98,2.90
2017-01-01,AQ042,12.25,33.26,9.75,8.03
2017-01-01,AQ043,8.49,58.15,9.50,8.84
2017-01-01,AQ044,43.15,7.92,24.10,22.62
2017-01-01,AQ045,15.72,32.29,11.67,10.59
2017-01-01,AQ046,11.85,53.38,5.70,4.36
2017-01-01,AQ047,32.93,7.63,16.61,13.08
2017-01-01,AQ048,11.76,27.17,12.52,10.55
2017-01-01,AQ049,16.94,30.23,28.63,23.51
2017-01-01,AQ050,29.44,19.54,17.04,15.09
2017-01-02,AQ001,13.13,44.29,16.09,6.38
2017-01-02,AQ002,51.89,12.72,78.45,67.09
2017-01-02,AQ003,35.10,27.59,20.66,16.46
2017-01-02,AQ004,33.49,18.28,14.95,13.70
2017-01-02,AQ005,21.20,22.90,29.13,25.72
2017-01-02,AQ006,21.20,18.77,15.25,11.82
2017-01-02,AQ007,13.66,28.17,11.73,10.63
2017-01-02,AQ008,6.23,53.42,14.28,4.40
2017-01-02,AQ009,16.35,20.19,20.74,19.43
2017-01-02,AQ010,31.92,9.14,20.68,11.97
2017-01-02,AQ011,11.51,33.67,18.79,17.06
2017-01-02,AQ012,26.70,15.59,26.35,24.13
2017-01-02,AQ013,26.85,13.35,16.96,11.36
2017-01-02,AQ014,15.07,43.47,6.44,4.77
2017-01-02,AQ015,14.44,43.84,7.83,4.45
2017-01-02,AQ016,23.00,26.14,10.64,6.73
