basetime,city_id,NO2,O3,PM10,PM2.5
2018-01-01,AQ001,15.45,55.01,19.40,10.40
2018-01-01,AQ002,33.75,21.98,31.88,27.01
2018-01-01,AQ003,37.10,24.55,25.10,18.35
2018-01-01,AQ004,10.21,64.68,7.68,4.87
2018-01-01,AQ005,21.64,24.40,37.88,32.68
2018-01-01,AQ006,10.32,60.17,8.08,6.26
2018-01-01,AQ007,3.99,76.48,4.76,4.22
2018-01-01,AQ008,5.79,65.30,11.81,5.99
2018-01-01,AQ009,15.89,24.18,26.22,22.58
2018-01-01,AQ010,8.32,63.53,7.73,4.51
2018-01-01,AQ011,19.07,15.89,37.55,33.58
2018-01-01,AQ012,22.78,5.58,24.18,20.06
2018-01-01,AQ013,6.07,65.97,7.77,4.74
2018-01-01,AQ014,9.57,65.21,10.79,7.31
2018-01-01,AQ015,4.72,69.02,8.89,3.92
2018-01-01,AQ016,13.35,60.90,10.97,7.95
2018-01-01,AQ017,6.41,33.63,7.89,6.80
2018-01-01,AQ018,30.76,25.12,38.55,18.98
2018-01-01,AQ019,27.62,44.00,35.06,31.99
2018-01-01,AQ020,17.49,53.58,10.43,5.45
2018-01-01,AQ021,6.38,70.00,8.77,5.05
2018-01-01,AQ022,12.06,53.84,9.28,6.27
2018-01-01,AQ023,16.33,55.14,13.53,7.50
2018-01-01,AQ024,9.03,61.48,10.41,6.27
2018-01-01,AQ025,48.03,1.81,31.47,29.58
2018-01-01,AQ026,9.62,59.34,8.85,6.35
2018-01-01,AQ027,12.41,58.57,16.99,14.41
2018-01-01,AQ028,10.14,57.71,18.29,7.28
2018-01-01,AQ029,2.95,46.93,6.68,4.93
2018-01-01,AQ030,35.50,25.03,28.50,20.81
2018-01-01,AQ031,12.71,63.16,11.75,5.90
2018-01-01,AQ032,6.42,47.62,17.41,15.13
2018-01-01,AQ033,13.95,48.68,13.85,10.58
2018-01-01,AQ034,8.19,52.34,43.62,34.18
2018-01-01,AQ035,3.61,63.36,8.10,4.89
2018-01-01,AQ036,8.63,39.59,12.32,9.68
2018-01-01,AQ037,18.80,42.95,14.36,7.40
2018-01-01,AQ038,3.99,56.93,12.54,10.99
2018-01-01,AQ039,21.88,39.44,89.91,77.06
2018-01-01,AQ040,24.81,38.18,26.37,24.23
2018-01-01,AQ041,7.32,46.16,5.56,5.15
2018-01-01,AQ042,6.70,33.26,8.83,8.02
2018-01-01,AQ043,5.14,62.10,10.63,8.81
2018-01-01,AQ044,32.72,17.35,19.48,18.46
2018-01-01,AQ045,6.90,70.53,8.32,4.72
2018-01-01,AQ046,4.12,65.00,17.41,7.57
2018-01-01,AQ047,23.98,31.84,22.69,18.26
2018-01-01,AQ048,8.50,32.49,14.85,12.05
2018-01-01,AQ049,16.36,30.30,28.26,22.03
2018-01-01,AQ050,10.20,47.97,10.99,9.30
2018-01-02,AQ001,18.00,45.98,12.02,7.04
2018-01-02,AQ002,23.37,31.57,22.54,18.68
2018-01-02,AQ003,34.28,33.08,23.70,13.29
2018-01-02,AQ004,28.76,35.89,9.34,5.90
2018-01-02,AQ005,12.13,32.76,16.10,13.71
2018-01-02,AQ006,19.81,34.55,11.75,9.06
2018-01-02,AQ007,6.25,71.29,4.60,2.45
2018-01-02,AQ008,7.89,57.17,10.43,5.66
2018-01-02,AQ009,12.49,39.56,12.41,10.13
2018-01-02,AQ010,13.86,49.79,10.17,5.50
2018-01-02,AQ011,18.84,14.30,23.24,20.98
2018-01-02,AQ012,18.33,14.26,14.81,12.73
2018-01-02,AQ013,15.03,49.74,8.40,5.53
2018-01-02,AQ014,15.12,48.66,13.71,9.03
2018-01-02,AQ015,8.72,67.09,6.00,2.82
2018-01-02,AQ016,22.89,31.73,13.73,9.88
2018-01-02,AQ017,7.17,59.82,6.10,4.27
2018-01-02,AQ018,31.30,30.34,27.78,13.80
2018-01-02,AQ019,33.85,43.97,28.69,26.85
2018-01-02,AQ020,24.64,42.19,14.36,7.43
2018-01-02,AQ021,12.15,56.28,9.91,5.92
2018-01-02,AQ022,16.76,41.26,10.29,5.76
2018-01-02,AQ023,24.86,44.33,12.42,7.39
2018-01-02,AQ024,15.54,54.58,8.36,4.77
2018-01-02,AQ025,43.35,14.94,14.72,12.25
2018-01-02,AQ026,13.64,56.74,5.01,3.11
2018-01-02,AQ027,10.40,61.94,5.43,3.81
2018-01-02,AQ028,18.42,53.63,10.33,6.36
2018-01-02,AQ029,3.17,42.94,10.67,5.85
2018-01-02,AQ030,35.29,21.55,16.93,13.58
2018-01-02,AQ031,23.53,43.68,14.51,7.86
2018-01-02,AQ032,5.01,49.87,5.68,4.91
2018-01-02,AQ033,12.47,47.64,8.01,6.11
2018-01-02,AQ034,6.12,52.42,13.02,11.80
2018-01-02,AQ035,1.97,60.77,4.39,2.30
2018-01-02,AQ036,11.36,44.80,14.98,12.84
2018-01-02,AQ037,24.78,36.24,8.97,6.71
2018-01-02,AQ038,4.36,47.26,6.08,5.58
2018-01-02,AQ039,14.43,37.66,39.29,26.79
2018-01-02,AQ040,17.11,38.64,12.67,11.72
2018-01-02,AQ041,8.38,46.80,5.35,4.11
2018-01-02,AQ042,4.21,60.75,7.06,5.41
2018-01-02,AQ043,6.23,60.58,6.54,5.27
2018-01-02,AQ044,21.22,39.52,7.88,6.24
2018-01-02,AQ045,10.57,59.05,9.94,5.60
2018-01-02,AQ046,2.74,75.10,19.45,6.01
