basetime,city_id,NO2,O3,PM10,PM2.5
2020-01-01,AQ001,34.81,9.18,33.83,29.49
2020-01-01,AQ002,18.88,29.20,22.01,18.55
2020-01-01,AQ003,19.87,50.75,11.83,8.80
2020-01-01,AQ004,25.80,14.12,32.91,26.45
2020-01-01,AQ005,13.96,19.42,36.61,26.79
2020-01-01,AQ006,22.27,32.05,25.43,16.22
2020-01-01,AQ007,22.21,21.71,16.69,12.14
2020-01-01,AQ008,17.85,32.74,20.64,15.28
2020-01-01,AQ009,13.52,46.70,22.97,14.52
2020-01-01,AQ010,26.15,10.50,25.97,19.43
2020-01-01,AQ011,20.59,35.00,21.62,17.26
2020-01-01,AQ012,18.20,33.59,22.36,16.30
2020-01-01,AQ013,27.62,23.64,25.22,15.41
2020-01-01,AQ014,9.18,61.13,15.86,7.92
2020-01-01,AQ015,15.77,33.61,16.99,11.20
2020-01-01,AQ016,33.67,15.64,27.30,17.07
2020-01-01,AQ017,4.90,62.28,6.12,2.89
2020-01-01,AQ018,23.66,17.35,28.63,23.45
2020-01-01,AQ019,35.00,24.95,38.03,34.35
2020-01-01,AQ020,43.71,2.91,33.55,24.19
2020-01-01,AQ021,24.98,23.17,28.06,18.77
2020-01-01,AQ022,43.79,3.96,32.60,28.11
2020-01-01,AQ023,56.78,8.38,39.62,30.01
2020-01-01,AQ024,28.41,21.51,20.49,15.45
2020-01-01,AQ025,56.11,4.19,54.90,48.52
2020-01-01,AQ026,14.55,43.86,11.03,8.48
2020-01-01,AQ027,31.32,10.02,25.21,20.53
2020-01-01,AQ028,32.28,28.38,20.05,16.17
2020-01-01,AQ029,6.17,52.28,7.45,4.93
2020-01-01,AQ030,11.84,45.92,12.69,7.82
2020-01-01,AQ031,41.55,4.11,27.45,20.42
2020-01-01,AQ032,4.21,64.03,8.97,7.08
2020-01-01,AQ033,25.72,32.07,25.34,16.78
2020-01-01,AQ034,9.99,41.25,19.43,15.59
2020-01-01,AQ035,1.58,85.07,7.67,2.75
2020-01-01,AQ036,4.08,61.12,8.49,4.22
2020-01-01,AQ037,35.88,14.80,25.32,21.25
2020-01-01,AQ038,8.95,47.84,24.25,20.08
2020-01-01,AQ039,10.33,43.29,21.56,17.65
2020-01-01,AQ040,10.91,48.37,20.97,17.57
2020-01-01,AQ041,4.83,68.03,6.52,2.72
2020-01-01,AQ042,4.85,66.17,5.87,2.65
2020-01-01,AQ043,8.56,66.86,11.49,9.32
2020-01-01,AQ044,48.94,10.16,56.29,47.03
2020-01-01,AQ045,28.43,25.08,27.32,20.19
2020-01-01,AQ046,4.08,66.91,7.44,4.63
2020-01-01,AQ047,21.47,46.82,20.86,13.95
2020-01-01,AQ048,5.26,54.82,8.57,4.89
2020-01-01,AQ049,11.40,41.06,15.68,9.91
2020-01-01,AQ050,30.02,22.39,32.73,27.57
2020-01-02,AQ001,29.17,11.95,17.97,15.78
2020-01-02,AQ002,8.15,47.10,8.90,7.67
2020-01-02,AQ003,7.76,69.27,6.91,4.31
2020-01-02,AQ004,28.31,17.88,28.14,23.13
2020-01-02,AQ005,19.76,18.29,49.06,43.12
2020-01-02,AQ006,34.76,7.90,20.64,17.76
2020-01-02,AQ007,20.86,29.46,13.80,10.38
2020-01-02,AQ008,9.10,49.64,13.70,7.28
2020-01-02,AQ009,26.15,26.91,36.53,30.62
2020-01-02,AQ010,19.66,25.35,15.30,12.48
2020-01-02,AQ011,22.43,28.61,27.20,23.30
2020-01-02,AQ012,33.69,12.21,37.62,30.39
2020-01-02,AQ013,24.90,15.59,13.00,10.21
2020-01-02,AQ014,16.96,32.72,22.22,18.45
2020-01-02,AQ015,4.56,68.91,9.97,3.61
2020-01-02,AQ016,31.54,11.22,26.43,21.30
2020-01-02,AQ017,7.08,54.70,12.93,6.39
2020-01-02,AQ018,29.52,12.04,31.39,24.86
2020-01-02,AQ019,40.66,24.26,38.47,35.76
2020-01-02,AQ020,21.73,40.31,11.86,7.73
2020-01-02,AQ021,22.94,15.88,20.45,14.18
2020-01-02,AQ022,31.96,18.92,24.33,20.49
2020-01-02,AQ023,54.98,5.88,35.63,29.08
2020-01-02,AQ024,23.53,32.92,14.99,11.16
2020-01-02,AQ025,63.80,2.93,58.01,45.28
2020-01-02,AQ026,15.10,37.04,12.28,9.16
2020-01-02,AQ027,37.06,11.04,18.83,15.89
2020-01-02,AQ028,32.24,27.91,19.16,15.83
2020-01-02,AQ029,4.31,57.87,6.40,5.52
2020-01-02,AQ030,10.23,45.13,13.63,8.07
2020-01-02,AQ031,30.72,20.48,13.37,9.49
2020-01-02,AQ032,4.20,65.61,7.91,6.07
2020-01-02,AQ033,38.48,20.80,36.48,30.46
2020-01-02,AQ034,11.61,45.04,19.68,15.81
2020-01-02,AQ035,1.03,88.24,4.79,1.75
2020-01-02,AQ036,7.39,53.41,14.28,8.92
2020-01-02,AQ037,39.54,16.30,24.75,19.75
2020-01-02,AQ038,9.53,59.22,22.72,19.20
2020-01-02,AQ039,10.34,41.06,21.39,17.67
2020-01-02,AQ040,12.77,48.53,22.96,18.96
2020-01-02,AQ041,7.20,58.50,13.22,7.11
2020-01-02,AQ042,6.48,57.56,12.75,6.39
2020-01-02,AQ043,9.38,69.93,10.56,8.63
2020-01-02,AQ044,50.81,8.64,53.34,44.82
2020-01-02,AQ045,30.25,28.80,21.56,18.26
2020-01-02,AQ046,6.58,58.76,9.34,5.50
2020-01-02,AQ047,40.54,14.29,33.09,27.67
2020-01-02,AQ048,8.71,46.70,14.31,9.09
2020-01-02,AQ049,26.14,24.29,24.10,17.65
2020-01-02,AQ050,26.12,32.51,27.44,23.23
2020-01-03,AQ001,17.56,50.38,13.14,6.53
2020-01-03,AQ002,16.52,45.11,14.64,12.72
2020-01-03,AQ003,15.32,63.77,8.74,6.29
2020-01-03,AQ004,30.75,17.41,25.80,19.07
2020-01-03,AQ005,23.31,10.96,66.60,58.00
2020-01-03,AQ006,15.78,34.45,10.94,8.98
2020-01-03,AQ007,13.34,44.11,13.34,10.83
2020-01-03,AQ008,6.63,68.84,13.09,5.10
2020-01-03,AQ009,27.78,13.88,41.92,36.65
2020-01-03,AQ010,15.40,50.43,12.95,7.47
2020-01-03,AQ011,18.73,27.56,29.87,25.94
2020-01-03,AQ012,35.16,14.95,41.66,36.75
2020-01-03,AQ013,13.33,46.09,6.86,4.02
2020-01-03,AQ014,12.48,46.95,15.72,9.14
2020-01-03,AQ015,6.55,70.75,12.25,3.81
2020-01-03,AQ016,17.36,39.02,10.55,7.34
2020-01-03,AQ017,5.12,53.02,9.81,5.22
2020-01-03,AQ018,30.40,20.03,36.50,27.61
2020-01-03,AQ019,29.26,40.42,33.97,30.94
2020-01-03,AQ020,25.11,50.61,11.10,5.51
2020-01-03,AQ021,8.69,49.56,7.68,5.62
2020-01-03,AQ022,38.74,14.91,22.99,18.23
2020-01-03,AQ023,63.55,5.23,46.77,37.49
2020-01-03,AQ024,23.80,33.73,16.73,12.03
2020-01-03,AQ025,65.07,4.92,51.93,47.43
2020-01-03,AQ026,15.40,37.62,11.27,9.05
2020-01-03,AQ027,19.55,43.62,11.27,9.09
2020-01-03,AQ028,51.02,20.60,30.61,21.30
2020-01-03,AQ029,5.77,58.07,4.27,3.31
2020-01-03,AQ030,6.86,67.02,6.84,4.12
2020-01-03,AQ031,20.90,48.67,11.43,7.01
2020-01-03,AQ032,8.33,53.18,10.98,9.97
2020-01-03,AQ033,24.05,27.19,20.90,15.32
2020-01-03,AQ034,19.83,34.43,26.80,23.15
2020-01-03,AQ035,2.48,88.33,5.45,2.46
2020-01-03,AQ036,8.62,42.51,13.54,10.60
2020-01-03,AQ037,36.25,21.35,28.46,23.37
2020-01-03,AQ038,12.59,66.82,17.58,16.08
2020-01-03,AQ039,15.15,42.33,24.39,19.41
2020-01-03,AQ040,14.53,48.22,22.23,17.89
2020-01-03,AQ041,5.62,58.93,6.61,3.07
2020-01-03,AQ042,5.62,51.71,9.64,6.01
2020-01-03,AQ043,14.50,61.58,14.83,12.73
2020-01-03,AQ044,51.66,12.86,43.98,38.23
2020-01-03,AQ045,30.07,29.52,21.64,16.57
2020-01-03,AQ046,6.85,61.45,10.65,6.43
2020-01-03,AQ047,36.30,7.65,32.80,29.18
2020-01-03,AQ048,13.58,35.31,16.39,13.11
2020-01-03,AQ049,27.95,20.15,25.41,19.09
2020-01-03,AQ050,34.89,32.13,38.43,35.39
2020-01-04,AQ001,18.17,53.74,18.02,6.18
2020-01-04,AQ002,30.01,32.85,30.89,27.23
